TOP 5:
word:       condition; TF: 0.000025; IDF: 0.167054; TF-IDF: 0.000004
word:        commence; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           swamp; TF: 0.000050; IDF: 0.080043; TF-IDF: 0.000004
word:            live; TF: 0.000257; IDF: 0.080043; TF-IDF: 0.000021
word:          coffee; TF: 0.000075; IDF: 0.262364; TF-IDF: 0.000020
word:        outstart; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           shoal; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:            hull; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         humbugs; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:         tiptoed; TF: 0.000033; IDF: 0.485508; TF-IDF: 0.000016
word:           swaps; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
